493481,361,413
493503,516,397
493523,516,397
493543,516,397
493563,441,449
493582,441,449
493602,441,449
493624,432,386
493642,432,386
493661,432,386
493682,561,359
493704,561,359
493723,688,397
493743,688,397
493763,688,397
493784,623,432
493803,623,432
493823,623,432
493841,623,432
493861,623,432
493883,492,449
493904,492,449
493923,492,449
493942,456,452
493962,456,452
493982,456,452
494000,456,452
494021,456,452
494043,456,452
494063,422,364
494084,422,364
494103,295,414
494124,295,414
494140,295,414
494163,369,478
494184,369,478
494203,354,402
494224,354,402
494244,354,402
494263,438,372
494284,438,372
494300,438,372
494324,438,372
494344,519,365
494363,519,365
494384,365,389
494402,365,389
494422,365,389
494442,445,312
494461,445,312
494484,634,302
494502,634,302
494521,634,302
494542,713,425
494564,713,425
494583,586,405
494601,586,405
494624,586,405
494641,586,405
494661,512,380
494682,512,380
494704,373,395
494723,373,395
494741,373,395
494761,498,418
494785,498,418
494801,498,418
494824,560,363
494844,560,363
494861,201,457
494884,201,457
494902,201,457
494923,345,459
494944,345,459
494963,345,459
494983,416,424
495000,416,424
495025,416,424
495041,458,385
495064,512,383
495081,512,383
495104,512,383
495122,473,423
495143,473,423
495162,473,423
495181,524,406
495204,524,406
495220,572,405
495243,572,405
495261,572,405
495285,585,417
495303,585,417
495323,585,417
495343,530,414
495362,530,414
495381,530,414
495404,478,410
495423,478,410
495444,459,426
495461,459,426
495484,459,426
495504,459,426
495522,459,426
495542,471,412
495564,448,426
495583,448,426
495602,448,426
495624,413,466
495641,413,466
495660,396,447
495684,396,447
495703,396,447
495722,418,411
495742,418,411
495762,456,373
495784,456,373
495803,456,373
495823,456,373
495843,456,373
495861,478,402
495882,478,402
495902,479,410
495924,592,414
495941,592,414
495961,592,414
495982,617,432
496002,617,432
496021,617,432
496045,572,398
496063,572,398
496082,572,398
496104,572,398
496121,572,398
496144,572,398
496163,433,379
496183,433,379
496202,433,379
496221,458,420
496242,458,420
496264,512,387
496283,512,387
496304,512,387
496323,402,431
496341,402,431
496364,402,431
496381,369,475
496404,369,475
496422,369,475
496443,377,465
496465,377,465
496484,400,444
496503,400,444
496522,400,444
496541,450,395
496562,450,395
496582,455,416
496600,455,416
496623,455,416
496644,454,390
496663,454,390
496684,454,390
496703,454,390
496725,454,390
496741,454,390
496764,629,412
496784,629,412
496803,629,412
496824,609,426
496843,535,378
496864,535,378
496883,535,378
496903,410,380
496922,410,380
496941,410,380
496963,410,380
496983,415,431
497004,415,431
497022,415,431
497042,415,431
497061,415,431
497084,435,388
497103,435,388
497123,306,490
497142,306,490
497165,306,490
497182,400,461
497204,400,461
497224,400,461
497241,420,446
497265,420,446
497282,420,446
497303,420,446
497322,449,408
497343,482,409
497363,482,409
497383,429,430
497403,429,430
497422,429,430
497445,429,430
497463,483,409
497483,483,409
497502,483,409
497523,565,404
497542,565,404
497564,607,415
497583,607,415
497602,607,415
497621,572,388
497642,572,388
